STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
212,4,2,3,2,4,3,4,5,3,3,4,3,3,2,3,3,3,3,3,2,2,2,2,2,3,4,3,3,1,1,2,2,2,3,2,2,3,3,3,3,5,5,5,4,3,3,3,2,3,3,3,2,1,1,1,2,4,5,4,5,4,4,4,4,4,3,4,4,3,3,3,3,2.35,3.5,3.20833333333333
213,1,1,4,3,3,3,3,3,4,3,2,3,1,3,3,3,2,1,1,2,1,2,2,2,3,3,3,3,5,5,5,5,2,3,2,2,2,2,3,2,4,4,4,2,3,3,4,3,3,2,3,3,1,2,3,2,3,3,3,3,4,4,4,4,2,2,2,3,5,5,4,4,2.7,3,3.08333333333333
214,1,2,3,2,5,4,4,4,5,3,4,2,4,4,3,3,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2,1,3,2,3,3,3,4,2,4,2,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,2,2,3,3,4,5,4,3,2.3,2.83333333333333,3.375
215,1,2,3,2,5,5,4,4,3,3,3,3,4,3,4,3,4,4,4,4,1,1,2,1,4,4,3,2,2,2,2,3,2,3,2,3,4,4,4,4,3,2,4,2,3,3,3,3,3,3,3,3,2,2,2,1,3,3,5,3,3,3,3,3,4,4,4,3,4,5,4,5,2.65,3.25,3.25
216,1,2,4,2,4,2,4,5,5,2,3,3,3,3,3,3,2,1,1,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,1,1,3,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,2.15,3.08333333333333,2.95833333333333
217,1,2,3,2,4,5,5,3,4,2,3,2,2,1,3,3,3,3,3,3,1,3,3,2,3,3,3,3,1,2,2,1,2,2,2,2,2,3,4,5,3,3,3,3,4,3,2,3,4,4,2,4,2,2,1,1,4,4,4,3,3,3,3,4,3,3,3,3,5,4,5,4,2.35,3.16666666666667,3.25
218,1,1,4,1,5,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,1,2,3,2,3,3,3,2,3,3,3,2,2,3,4,3,3,4,5,3,2,2,2,2,4,4,4,4,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,4,3,4,1,4,4,4,2.7,3.25,2.70833333333333
219,1,1,4,2,3,4,3,4,3,3,4,4,4,3,3,3,2,2,2,1,2,1,2,1,4,3,4,4,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,2.3,2.75,3.58333333333333
220,4,2,4,2,4,5,3,3,3,4,4,2,3,3,3,3,2,2,1,2,2,2,2,3,4,3,4,4,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,4,4,4,4,4,4,4,3,2,1,1,1,4,4,4,4,3,3,3,4,5,5,4,5,4,3,3,4,2.35,2.41666666666667,3.41666666666667
221,3,2,3,1,2,2,3,2,2,3,2,2,1,3,3,3,2,2,2,3,1,2,2,2,3,3,3,2,2,3,2,3,3,2,1,2,2,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1,2,3,2,3,4,4,3,4,4,4,4,4,4,4,4,4,2,2,4,4,2.25,2.5,3.25
222,4,1,3,1,3,3,3,3,3,2,3,2,3,3,3,4,2,2,2,2,3,2,2,2,4,4,4,4,3,3,2,2,2,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,1,2,2,1,1,1,1,1,3,3,3,3,4,5,5,3,5,5,4,4,3,3,3,4,2.6,2.58333333333333,2.91666666666667
223,4,1,4,1,2,2,4,2,2,3,3,3,3,2,3,3,2,2,1,2,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,4,4,4,3,2,3,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,3,5,4,5,5,4,2.4,2.83333333333333,3.41666666666667
224,4,2,3,1,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2,3,2,3,2,2,2,4,2,2,3,4,3,3,2,3,3,3,2,2,2,1,2,2,4,3,3,4,4,5,5,4,5,4,4,4,5,5,5,4,2.95,2.66666666666667,3.54166666666667
225,4,1,3,1,2,2,3,2,2,2,3,3,3,3,3,3,1,1,2,2,3,3,3,3,4,4,4,3,1,2,2,2,2,2,1,2,4,2,3,4,2,2,2,2,3,4,4,3,3,3,2,2,1,2,1,2,3,3,3,3,3,3,3,4,3,4,3,3,4,5,5,5,2.35,2.91666666666667,3.04166666666667
226,4,1,3,2,3,3,3,3,2,3,3,3,2,3,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,2,3,3,2,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,5,4,5,4,2.85,3,3.41666666666667
227,4,2,3,2,2,3,3,3,2,2,3,4,2,3,3,3,2,1,2,1,3,4,4,4,4,4,4,4,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,4,3,3,3,3,3,4,4,4,4,5,5,4,3,3,3,3,3,5,3,3,4,2.8,2.91666666666667,3.54166666666667
228,4,2,3,1,3,2,4,2,3,2,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,2,2,3,2,3,4,4,3,4,3,3,3,2,4,3,3,3,2,2,1,2,1,1,2,1,4,4,4,3,3,5,5,4,3,3,3,3,5,4,4,5,3.1,3.25,3.08333333333333
229,4,2,3,1,4,2,3,3,4,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,3,3,4,3,2,2,2,2,3,3,4,4,3,3,3,4,2,2,2,2,4,3,5,5,4,4,4,4,4,4,5,4,4,4,4,4,2.55,2.91666666666667,3.625
230,4,1,3,2,3,2,3,3,3,2,4,4,2,3,3,3,2,1,2,1,2,3,2,2,4,4,4,3,3,2,3,2,3,3,3,2,4,4,4,3,4,2,4,4,4,3,3,4,4,4,4,4,2,2,2,2,3,4,3,3,3,3,3,4,3,4,3,4,3,3,5,3,2.55,3.58333333333333,3.25
231,4,1,3,3,2,3,4,3,3,3,2,2,4,4,4,5,1,1,1,2,2,2,2,2,3,3,3,3,1,2,1,1,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,4,3,4,3,4,1,1,3,4,4,3,4,4,3,3,4,4,2,3,3,4,5,4,4,2.05,2.75,3.375
232,4,2,3,1,3,4,3,4,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,2,3,2,3,3,4,3,3,4,4,4,3,3,3,3,3,1,1,2,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2.65,3.08333333333333,2.95833333333333
233,1,1,3,2,3,3,1,4,4,3,4,4,3,5,2,5,3,3,2,2,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,4,4,3,4,2,2,3,2,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,4,4,5,4,3,2.9,3,3.33333333333333
234,4,2,4,1,2,1,1,1,1,2,1,1,2,2,2,1,2,3,2,3,3,2,3,3,3,3,3,3,1,1,1,1,2,2,2,2,3,4,4,3,3,2,4,4,4,3,4,4,3,3,4,2,3,2,3,1,3,3,3,3,4,4,4,4,4,4,3,3,5,5,4,3,2.25,3.5,3.33333333333333
235,4,1,3,1,3,3,3,3,4,2,2,2,2,4,4,4,1,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,3,3,3,3,2,2,3,2,3,2,3,3,4,4,4,3,2,1,2,1,3,3,3,3,3,3,3,3,3,3,4,3,5,4,3,4,2.2,2.66666666666667,3.08333333333333
236,4,1,3,3,3,4,3,3,2,2,3,3,3,4,5,4,3,2,4,4,3,3,3,3,3,3,2,3,4,4,4,2,2,2,4,2,4,4,3,3,2,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,3,3,3,3,3,3,4,3,4,3,3,3,3.08333333333333
237,4,1,3,1,4,3,4,4,2,3,4,3,3,3,3,3,2,2,2,1,2,2,3,3,4,4,4,4,3,2,3,3,2,3,2,2,3,3,3,3,3,3,2,2,4,3,4,3,4,3,4,3,3,3,1,3,4,4,4,3,4,4,4,4,3,4,3,3,3,4,5,5,2.65,3,3.54166666666667
238,1,1,2,3,3,3,3,2,3,3,4,4,4,4,4,4,1,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,1,3,3,3,3,3,3,3,2,2,1,2,3,3,4,3,3,3,4,3,2,2,2,2,3,3,3,3,2,3,4,3,2.15,2.66666666666667,2.70833333333333
239,2,1,3,2,3,4,2,3,4,2,3,2,3,3,3,4,2,3,3,2,2,3,2,3,4,4,4,4,3,4,5,5,5,3,3,3,2,2,3,4,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,2,3,4,4,3.35,3.25,3.70833333333333
240,2,2,2,2,2,2,3,3,2,3,4,3,4,2,2,2,3,2,3,3,3,3,3,3,3,3,4,3,3,5,3,2,2,2,4,2,2,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,2,2,4,2,4,4,4,4,3,3,3,2,3,3,3,3,5,5,5,4,2.95,3.5,3.33333333333333
241,2,1,2,2,2,4,3,3,3,4,5,4,4,3,5,3,2,3,3,2,2,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,2,3,1,3,2,1,3,4,4,3,4,4,3,4,3,4,2,2,5,2,3,3,3,3.2,3.41666666666667,2.95833333333333
242,2,1,3,1,2,2,2,3,2,2,2,3,4,3,3,3,3,2,3,3,1,1,1,2,4,4,4,4,2,1,2,2,3,3,3,3,2,2,2,2,3,4,4,4,4,4,3,3,3,3,3,3,1,2,2,2,3,3,3,3,4,3,3,4,3,3,3,3,4,4,4,3,2.55,3.08333333333333,3
