STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
82,4,1,4,1,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,4,4,4,5,2,3,2,2,2,2,2,2,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,4,4,4,5,4,4,4,5,4,5,4,5,5,2.5,3.66666666666667,3.875
83,4,2,3,2,2,3,2,3,3,3,4,3,3,2,3,2,1,2,2,3,3,4,3,3,2,4,4,4,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,4,4,2,2,3,3,3,2,2,2,4,3,4,4,3,4,4,4,3,4,3,4,5,5,3,5,2.45,3.33333333333333,3.375
84,4,2,3,2,4,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,2,1,2,3,3,3,3,4,4,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3,4,3,3,4,4,4,4,3,2,2,2,4,4,3,4,4,4,4,4,4,3,4,4,2,3,2,4,2.55,2.83333333333333,3.41666666666667
85,1,1,4,1,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,4,3,4,4,4,4,2,2,2,3,3,2,2,3,3,3,4,3,5,3,5,5,4,4,4,2,3,2,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,2.7,3.41666666666667,3.41666666666667
86,2,2,4,1,4,3,4,3,3,3,3,4,3,3,3,3,3,2,2,2,1,1,3,3,4,3,3,3,1,3,3,3,2,2,2,2,2,2,5,3,3,4,3,3,3,3,4,4,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,4,3,4,4,5,5,4,4,2.4,3.25,3.33333333333333
87,2,2,4,2,4,3,4,4,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,5,5,3,5,2,2,2,3,2,1,2,3,4,4,4,4,4,4,4,4,4,3,4,3,5,5,3,2,2.5,3.33333333333333,3.25
88,2,1,3,1,4,3,3,4,3,4,3,4,3,2,2,2,3,3,3,3,1,2,2,1,4,3,3,4,2,3,3,2,4,4,4,4,2,3,3,3,3,4,2,4,3,3,3,3,3,3,3,4,4,3,3,2,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2.9,3,3.25
89,4,2,3,2,4,4,3,3,3,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,4,3,4,3,3,2,3,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,4,3,4,3,4,4,4,4,4,4,5,4,4,5,4,5,5,5,2.6,3.58333333333333,3.75
90,2,1,3,2,4,3,3,3,3,4,4,4,3,1,1,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,2,3,2,3,3,2,2,2,4,4,3,4,3,3,3,4,4,4,3,4,5,5,5,2,2.65,2.66666666666667,3.29166666666667
91,2,1,3,1,4,3,3,3,3,3,4,3,4,4,3,3,4,4,4,3,3,3,1,3,3,3,3,2,2,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,2,1,3,3,1,2,2,1,3,2,3,3,3,4,4,4,3,3,3,4,3,3,3,4,3,3,3,2,2.8,2.58333333333333,2.875
92,2,2,3,2,4,4,3,4,4,2,2,4,4,3,4,3,3,3,3,3,2,2,3,2,3,4,3,4,2,2,4,2,4,4,4,4,3,3,2,3,3,3,2,3,4,3,4,3,3,3,3,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,3.05,3,3.70833333333333
93,2,2,2,2,3,4,2,2,4,4,2,4,4,2,2,3,2,2,3,2,3,3,1,3,3,2,3,3,2,3,2,2,2,3,2,3,3,4,4,3,3,4,3,3,5,5,5,5,3,3,3,1,3,2,4,2,4,4,4,4,3,4,4,3,4,3,4,4,3,4,5,4,2.45,3.91666666666667,3.41666666666667
94,1,2,4,2,3,5,5,5,5,4,4,3,4,4,3,4,2,2,3,3,2,3,2,3,3,3,4,3,2,2,2,3,2,3,2,2,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,2,3,2,3,3,3,3,3,4,3,3,3,3,4,4,5,4,4,4,4,3,2.55,3.33333333333333,3.29166666666667
95,1,2,3,2,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,5,5,5,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,4,3,4,3,3.41666666666667,3.20833333333333
96,1,2,3,2,3,2,3,3,3,5,3,3,3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,2,5,5,2,5,2,2,3,2,3,2,4,2,2,3,3,3,4,5,4,5,3,4,4,4,1,2,2,2,4,4,4,4,3,3,3,4,3,5,4,4,5,5,4,4,2.95,3.33333333333333,3.54166666666667
97,1,1,4,1,4,3,3,3,4,3,3,3,3,3,4,3,2,2,2,2,1,2,3,2,3,3,4,3,3,3,3,2,2,1,2,2,3,2,4,4,4,4,4,3,3,3,3,2,3,2,2,1,1,3,3,3,3,3,3,3,3,4,5,4,4,3,4,4,4,5,5,5,2.35,3.25,3.33333333333333
98,1,1,3,2,3,3,2,4,5,3,2,3,3,3,3,3,2,2,1,1,2,1,1,1,3,2,3,3,2,2,2,2,4,4,4,4,4,3,3,3,2,3,4,3,4,4,4,4,2,2,1,3,2,1,2,2,4,4,4,4,3,3,3,4,4,4,4,4,4,5,4,4,2.3,3.41666666666667,3.20833333333333
99,1,2,4,2,4,3,3,4,3,3,3,2,3,3,3,3,2,2,3,2,1,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,4,4,3,4,4,3,4,3,4,3,3,3,3,2,2,1,2,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,2.55,3.5,2.79166666666667
100,1,1,3,1,4,2,4,3,4,3,3,3,4,3,3,3,3,2,2,3,2,2,2,1,3,4,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,2.65,3.41666666666667,3.20833333333333
